epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,1036.82,0.36928,1.5358,0.37072,0.17306,0.00773,1.12923,0.99976,1,0.995,0.99399,0.99976,1,0.995,0.69574,0.21353,1.0659,0.34495,0.07263,0.00871,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
32,1069.68,0.35304,1.61653,0.36347,0.17804,0.00737,1.31518,0.99973,1,0.995,0.995,0.99973,1,0.995,0.85064,0.2346,0.57374,0.35609,0.07356,0.00767,0,0.0290793,0.0096931,0.0290793,0.0096931,0.0290793,0.0096931,0.0290793,0.0096931
33,1103.21,0.35523,1.4483,0.35586,0.19599,0.00751,1.0829,0.99973,1,0.995,0.98342,0.99973,1,0.995,0.84633,0.31112,0.60048,0.3431,0.09943,0.00745,0,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
34,1137.15,0.35216,1.55532,0.35302,0.18129,0.0072,1.19462,0.99973,1,0.995,0.995,0.99973,1,0.995,0.93999,0.16221,0.2819,0.35265,0.05894,0.00546,0,0.0290199,0.0096733,0.0290199,0.0096733,0.0290199,0.0096733,0.0290199,0.0096733
35,1170.77,0.38596,1.39568,0.35226,0.20108,0.008,0.77109,0.99972,1,0.995,0.9938,0.99972,1,0.995,0.73933,0.2386,0.97809,0.35288,0.081,0.00706,0,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
36,1204.24,0.37227,1.43711,0.35128,0.18513,0.00765,0.80888,0.99975,1,0.995,0.99493,0.99975,1,0.995,0.93796,0.17322,0.30926,0.35113,0.05971,0.00457,0,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
37,1237.64,0.34196,1.27951,0.34924,0.18969,0.00686,0.67737,0.9988,1,0.995,0.995,0.9988,1,0.995,0.93817,0.21258,0.3104,0.34477,0.11764,0.00788,0,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
38,1270.82,0.3622,1.31286,0.34105,0.18506,0.00746,0.69572,0.99648,0.995,0.995,0.995,0.99648,0.995,0.995,0.869,0.24146,0.56544,0.34264,0.10126,0.0076,0,0.0289011,0.0096337,0.0289011,0.0096337,0.0289011,0.0096337,0.0289011,0.0096337
39,1303.86,0.36657,1.39538,0.34121,0.18584,0.00753,0.77479,0.99498,0.99147,0.99495,0.99134,0.99498,0.99147,0.99495,0.83553,0.19043,0.62663,0.3466,0.13199,0.00599,0,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238
40,1337.26,0.33517,1.26257,0.33285,0.18569,0.00694,0.62834,1,0.99947,0.995,0.99496,1,0.99947,0.995,0.8922,0.22074,0.42651,0.34173,0.08057,0.00628,0,0.0288417,0.0096139,0.0288417,0.0096139,0.0288417,0.0096139,0.0288417,0.0096139
