element_id,node_1,node_2,node_3
247518,15627,15884,15429
247519,15884,15697,15429
247520,15884,16177,15697
247521,16177,16006,15697
247522,16177,16528,16006
247523,16528,16348,16006
247524,16528,16905,16348
247525,16905,16736,16348
247526,16905,17327,16736
247527,17327,17154,16736
247528,16457,15891,16248
247529,16457,16095,15891
247530,16095,15571,15891
247531,16095,15772,15571
247532,15772,15276,15571
247533,15772,15502,15276
247534,15502,15030,15276
247535,15502,15250,15030
247536,15250,14823,15030
247537,15250,15061,14823
247538,15061,14654,14823
247539,15061,14901,14654
247540,14901,14537,14654
247541,14901,14797,14537
247542,14797,14469,14537
247543,14797,14743,14469
247544,14743,14429,14469
247545,14743,14738,14429
247546,14738,14456,14429
247547,14738,14782,14456
247548,14782,14513,14456
247549,14782,14875,14513
247550,14875,14628,14513
247551,14875,15013,14628
247552,15013,14785,14628
247553,15013,15188,14785
247554,15188,14987,14785
247555,15188,15429,14987
247556,15429,15223,14987
247557,15429,15697,15223
247558,15697,15517,15223
247559,15697,16006,15517
247560,16006,15824,15517
247561,16006,16348,15824
247562,16348,16170,15824
247563,16348,16736,16170
247564,16736,16562,16170
247565,16736,17154,16562
247566,17154,16979,16562
247567,16248,15685,16045
247568,16248,15891,15685
247569,15891,15363,15685
247570,15891,15571,15363
247571,15571,15066,15363
247572,15571,15276,15066
247573,15276,14801,15066
247574,15276,15030,14801
247575,15030,14589,14801
247576,15030,14823,14589
247577,14823,14416,14589
247578,14823,14654,14416
247579,14654,14286,14416
247580,14654,14537,14286
247581,14537,14207,14286
247582,14537,14469,14207
247583,14469,14165,14207
247584,14469,14429,14165
247585,14429,14162,14165
247586,14429,14456,14162
247587,14456,14201,14162
247588,14456,14513,14201
247589,14513,14280,14201
247590,14513,14628,14280
247591,14628,14404,14280
247592,14628,14785,14404
247593,14785,14572,14404
247594,14785,14987,14572
247595,14987,14783,14572
247596,14987,15223,14783
247597,15223,15043,14783
247598,15223,15517,15043
247599,15517,15331,15043
247600,15517,15824,15331
247601,15824,15656,15331
247602,15824,16170,15656
247603,16170,16022,15656
247604,16170,16562,16022
247605,16562,16401,16022
247606,16562,16979,16401
247607,16979,16815,16401
247608,16045,15492,15844
247609,16045,15685,15492
247610,15685,15149,15492
247611,15685,15363,15149
247612,15363,14856,15149
247613,15363,15066,14856
247614,15066,14590,14856
247615,15066,14801,14590
247616,14801,14362,14590
247617,14801,14589,14362
