node_id,x,y,z
410,-172.2,75.995,-44.43
411,-90.5377,151.736,-50.4734
412,-120.072,125.991,-25.3177
413,-73.2246,151.564,-91.4192
414,-184.687,57.1488,-100.0
415,-87.1081,91.648,-69.084
416,-131.284,57.3118,-71.8692
417,-180.141,55.1182,-95.4762
418,-156.191,100.945,-24.575
419,-146.374,55.5308,-69.2636
420,-72.9703,140.363,-78.2039
421,-106.277,83.0568,-51.1342
422,-142.627,98.6393,-25.2965
423,-86.3121,180.417,-92.7637
424,-98.2298,95.447,-48.6329
425,-190.865,59.7553,-92.5452
426,-88.3895,159.912,-56.0846
427,-91.6137,92.372,-59.0594
428,-126.815,108.974,-24.7677
429,-168.807,107.258,-23.4149
430,-123.57,55.6892,-82.1566
431,-159.439,58.1736,-62.5449
432,-116.455,149.98,-27.8269
433,-116.042,72.7226,-53.3867
434,-112.608,165.286,-35.6555
435,-170.456,51.8338,-86.8109
436,-92.3833,134.388,-41.7306
437,-94.6682,176.176,-59.364
438,-76.3912,143.171,-65.9861
439,-104.517,100.408,-38.4418
440,-174.493,51.2358,-100.0
441,-94.7491,106.983,-43.8632
442,-89.4239,112.232,-47.5275
443,-89.713,178.75,-70.124
444,-189.669,63.4484,-69.6328
445,-104.284,144.712,-32.3035
446,-124.104,51.9159,-100.0
447,-173.906,61.6021,-59.3211
448,-127.521,154.073,-23.1883
449,-74.9062,164.086,-90.7855
450,-121.683,88.0412,-34.5185
451,-82.5239,100.858,-62.6993
452,-94.8577,147.003,-40.093
453,-114.765,131.005,-24.5522
454,-185.662,74.361,-48.7434
455,-163.546,64.8792,-49.9772
456,-73.0424,114.851,-74.181
457,-100.821,155.94,-37.7789
458,-75.7381,96.9775,-86.1479
459,-80.0229,139.408,-56.3463
460,-135.535,62.4447,-54.1373
461,-76.4722,118.367,-63.7898
462,-151.365,46.9242,-100.0
463,-154.866,112.171,-18.1428
464,-104.145,134.564,-30.3139
465,-150.794,58.4063,-57.4241
466,-160.787,50.0051,-78.8369
467,-137.536,47.8214,-100.0
468,-187.679,55.0634,-93.996
469,-110.759,56.6863,-100.0
470,-73.428,157.972,-80.2172
471,-67.8871,146.148,-100.0
472,-143.914,71.3948,-40.3113
473,-81.623,151.665,-56.2706
474,-79.2216,174.88,-89.7106
475,-86.5309,78.6185,-82.8188
476,-164.988,76.7309,-36.0513
477,-152.769,66.813,-44.2384
478,-191.899,56.3465,-100.0
479,-83.083,181.926,-100.0
480,-115.609,78.1935,-43.5666
481,-150.48,121.671,-15.4314
482,-72.1558,107.114,-79.12
483,-70.8343,102.256,-100.0
484,-79.4022,85.6101,-91.0811
485,-151.837,91.7669,-24.1483
486,-65.4149,132.323,-100.0
487,-84.131,169.614,-63.0138
488,-70.4736,160.108,-100.0
489,-98.0668,71.4478,-68.3347
490,-136.275,133.317,-15.3914
491,-67.5402,125.953,-80.7082
492,-154.953,74.5226,-35.2693
493,-152.074,129.898,-13.9613
494,-93.1369,119.13,-37.4081
495,-117.604,105.49,-24.8317
496,-147.922,134.607,-13.9473
497,-144.948,130.904,-13.9655
498,-108.128,105.846,-29.5678
499,-181.813,51.6034,-84.5458
500,-81.9796,133.444,-47.9998
501,-75.5219,173.244,-100.0
502,-136.298,47.6833,-81.1616
503,-143.796,123.098,-13.97
504,-186.452,51.6949,-100.0
505,-79.4523,107.783,-56.9382
506,-129.506,77.9266,-34.7347
507,-65.2005,141.102,-92.5529
508,-138.299,55.4051,-59.1278
509,-191.875,56.4273,-81.791
510,-167.715,100.491,-20.2008
511,-155.683,125.549,-13.2571
512,-118.496,55.959,-70.2331
513,-159.924,120.101,-14.0101
514,-99.3648,61.0411,-94.675
515,-175.193,96.4748,-23.5995
516,-115.017,52.0625,-91.1968
517,-116.548,61.5866,-59.9957
518,-107.287,122.371,-24.8978
519,-144.059,138.733,-13.2237
520,-124.92,130.857,-16.5542
521,-79.2892,119.402,-51.197
522,-159.314,44.021,-92.4259
523,-180.172,56.7015,-63.3212
524,-139.185,143.623,-13.9423
525,-183.367,79.8527,-36.2823
526,-82.6652,144.944,-46.7897
527,-132.702,124.131,-14.3844
528,-84.6843,73.0799,-100.0
529,-166.275,86.9414,-25.1437
530,-81.492,182.645,-83.7157
531,-77.6798,86.9455,-78.3095
532,-145.069,111.495,-13.9507
533,-65.1639,113.508,-88.6874
534,-63.3814,118.279,-100.0
535,-79.817,183.383,-92.7169
536,-192.876,52.9042,-92.477
537,-123.86,63.174,-49.4269
538,-163.254,115.534,-13.3133
539,-176.814,64.2753,-47.0845
540,-105.789,73.9315,-48.7059
541,-117.62,161.757,-23.2782
542,-143.497,102.979,-15.4589
543,-130.904,144.948,-13.9655
544,-118.351,95.028,-24.8803
545,-101.961,87.7125,-38.9232
546,-140.545,108.083,-13.9881
547,-143.409,82.5866,-24.9296
548,-131.343,115.078,-13.9652
549,-135.07,147.499,-13.2287
550,-104.559,66.3243,-58.6284
551,-72.0449,104.521,-66.5199
552,-167.144,109.83,-14.0871
553,-130.786,87.4886,-23.941
554,-164.183,41.9052,-100.0
555,-174.219,69.3413,-38.3652
556,-126.448,101.233,-18.5342
557,-98.8576,59.644,-82.3975
558,-66.7795,135.383,-68.369
559,-125.741,137.29,-13.5928
560,-109.601,150.036,-22.0139
561,-84.8001,99.3555,-47.1578
562,-88.1703,71.283,-74.0877
563,-175.496,47.1057,-75.8619
564,-102.074,171.991,-35.8154
565,-174.553,77.9204,-30.1926
566,-83.3774,163.228,-48.9704
567,-76.5079,162.792,-59.215
568,-153.8,79.9778,-24.7458
569,-70.1267,169.127,-84.1688
570,-66.5045,123.653,-67.2813
571,-103.263,113.927,-24.4145
572,-129.898,152.074,-13.9613
573,-122.843,69.655,-38.7822
574,-95.0834,74.0429,-56.0415
575,-76.4694,178.506,-78.0179
576,-71.4024,150.531,-60.2449
